"","Price"
"2019-08-12",53600
"2019-08-13",51800
"2019-08-14",51900
"2019-08-16",51100
"2019-08-19",52500
"2019-08-20",53800
"2019-08-21",55000
"2019-08-22",56400
"2019-08-23",56100
"2019-08-26",54700
"2019-08-27",53700
"2019-08-28",54900
"2019-08-29",55100
"2019-08-30",56000
"2019-09-02",55900
"2019-09-03",56100
"2019-09-04",56700
"2019-09-05",57100
"2019-09-06",56400
"2019-09-09",56500
"2019-09-10",56900
"2019-09-11",57300
"2019-09-16",59200
"2019-09-17",59600
"2019-09-18",61400
"2019-09-19",60400
"2019-09-20",59600
"2019-09-23",60200
"2019-09-24",60800
"2019-09-25",59900
