"","Price"
"2017-09-07",11950
"2017-09-08",11850
"2017-09-11",11650
"2017-09-12",12000
"2017-09-13",11800
"2017-09-14",11500
"2017-09-15",11400
"2017-09-18",11350
"2017-09-19",11800
"2017-09-20",11200
"2017-09-21",10900
"2017-09-22",10300
"2017-09-25",10300
"2017-09-26",10450
"2017-09-27",10250
"2017-09-28",10550
"2017-09-29",10700
"2017-10-10",10250
"2017-10-11",10250
"2017-10-12",10200
"2017-10-13",10850
"2017-10-16",11400
"2017-10-17",11250
"2017-10-18",11100
"2017-10-19",11200
"2017-10-20",11250
"2017-10-23",11000
"2017-10-24",11100
"2017-10-25",11300
"2017-10-26",10700
"2017-10-27",11200
"2017-10-30",11000
"2017-10-31",10850
"2017-11-01",10650
"2017-11-02",10650
"2017-11-03",10850
"2017-11-06",10700
"2017-11-07",10800
"2017-11-08",10750
"2017-11-09",11100
"2017-11-10",10850
"2017-11-13",10750
"2017-11-14",10750
"2017-11-15",10350
"2017-11-16",10350
"2017-11-17",10600
"2017-11-20",10700
"2017-11-21",10400
"2017-11-22",10350
"2017-11-23",10700
"2017-11-24",10900
"2017-11-27",11000
"2017-11-28",11150
"2017-11-29",11000
"2017-11-30",11200
"2017-12-01",11050
"2017-12-04",11500
"2017-12-05",12150
"2017-12-06",11650
"2017-12-07",11300
"2017-12-08",11050
"2017-12-11",11300
"2017-12-12",11300
"2017-12-13",11650
"2017-12-14",11500
"2017-12-15",11750
"2017-12-18",10700
"2017-12-19",10750
"2017-12-20",10850
"2017-12-21",10800
"2017-12-22",10750
"2017-12-26",10650
"2017-12-27",10600
"2017-12-28",11000
"2018-01-02",11050
"2018-01-03",11550
"2018-01-04",11600
"2018-01-05",11600
"2018-01-08",11750
"2018-01-09",12200
"2018-01-10",12700
"2018-01-11",11950
"2018-01-12",12350
"2018-01-15",12100
"2018-01-16",11950
"2018-01-17",11750
"2018-01-18",11650
"2018-01-19",11900
"2018-01-22",11550
"2018-01-23",11650
"2018-01-24",12100
"2018-01-25",12250
"2018-01-26",12050
"2018-01-29",12600
"2018-01-30",12250
"2018-01-31",12150
"2018-02-01",12600
"2018-02-02",12450
"2018-02-05",11850
"2018-02-06",11800
"2018-02-07",11500
"2018-02-08",11600
"2018-02-09",11550
"2018-02-12",11550
"2018-02-13",11150
"2018-02-14",11200
"2018-02-19",11100
"2018-02-20",10900
"2018-02-21",10850
"2018-02-22",10650
"2018-02-23",10800
"2018-02-26",10750
"2018-02-27",11050
"2018-02-28",10750
"2018-03-02",10200
"2018-03-05",10100
"2018-03-06",10100
"2018-03-07",9800
"2018-03-08",10300
"2018-03-09",10100
"2018-03-12",10250
"2018-03-13",10200
"2018-03-14",10050
"2018-03-15",10100
"2018-03-16",10000
"2018-03-19",10500
"2018-03-20",10200
"2018-03-21",10300
"2018-03-22",10300
"2018-03-23",9880
"2018-03-26",10100
"2018-03-27",10650
"2018-03-28",10250
"2018-03-29",10250
"2018-03-30",10100
"2018-04-02",9990
"2018-04-03",9910
"2018-04-04",9850
"2018-04-05",9980
"2018-04-06",9920
"2018-04-09",9320
"2018-04-10",9550
"2018-04-11",9730
"2018-04-12",9570
"2018-04-13",9490
"2018-04-16",9230
"2018-04-17",9180
"2018-04-18",9550
"2018-04-19",10200
"2018-04-20",10200
"2018-04-23",10400
"2018-04-24",10150
"2018-04-25",10000
"2018-04-26",9940
"2018-04-27",9990
"2018-04-30",11000
"2018-05-02",11100
"2018-05-03",10700
"2018-05-04",10750
"2018-05-08",10550
"2018-05-09",10100
"2018-05-10",10450
"2018-05-11",10450
"2018-05-14",11000
"2018-05-15",10950
"2018-05-16",10350
"2018-05-17",10400
"2018-05-18",10500
"2018-05-21",10300
"2018-05-23",10200
"2018-05-24",9990
"2018-05-25",9730
"2018-05-28",10850
"2018-05-29",10600
"2018-05-30",10100
"2018-05-31",10100
"2018-06-01",10050
"2018-06-04",10300
"2018-06-05",10550
"2018-06-07",10750
"2018-06-08",10450
"2018-06-11",10550
"2018-06-12",10450
"2018-06-14",9980
"2018-06-15",9990
"2018-06-18",9700
"2018-06-19",9180
"2018-06-20",9180
"2018-06-21",8920
"2018-06-22",8920
"2018-06-25",9090
"2018-06-26",8820
"2018-06-27",8560
"2018-06-28",8350
"2018-06-29",8440
"2018-07-02",7920
"2018-07-03",7640
"2018-07-04",7440
"2018-07-05",7240
"2018-07-06",7550
"2018-07-09",7330
"2018-07-10",7540
"2018-07-11",7450
"2018-07-12",7340
"2018-07-13",7450
"2018-07-16",7350
"2018-07-17",7400
"2018-07-18",7220
"2018-07-19",7130
"2018-07-20",7030
"2018-07-23",7350
"2018-07-24",7510
"2018-07-25",7480
"2018-07-26",7670
"2018-07-27",7720
"2018-07-30",7780
"2018-07-31",7650
"2018-08-01",7890
"2018-08-02",7690
"2018-08-03",7780
"2018-08-06",8170
"2018-08-07",8280
"2018-08-08",8200
"2018-08-09",8070
"2018-08-10",8310
"2018-08-13",7980
"2018-08-14",8160
"2018-08-16",7910
"2018-08-17",7870
"2018-08-20",8360
"2018-08-21",8260
"2018-08-22",8280
"2018-08-23",8190
"2018-08-24",8100
"2018-08-27",8000
"2018-08-28",8370
"2018-08-29",9630
"2018-08-30",9680
"2018-08-31",9360
"2018-09-03",9330
"2018-09-04",9210
"2018-09-05",9130
"2018-09-06",9110
"2018-09-07",9380
"2018-09-10",9530
"2018-09-11",8780
"2018-09-12",8940
"2018-09-13",9010
"2018-09-14",8930
"2018-09-17",9110
"2018-09-18",9040
"2018-09-19",9440
"2018-09-20",9160
"2018-09-21",9450
"2018-09-27",9580
"2018-09-28",9310
"2018-10-01",9130
"2018-10-02",9070
"2018-10-04",8510
"2018-10-05",8450
"2018-10-08",8350
"2018-10-10",8010
"2018-10-11",7630
"2018-10-12",7710
"2018-10-15",7720
"2018-10-16",7960
"2018-10-17",8170
"2018-10-18",8010
"2018-10-19",7910
"2018-10-22",8020
"2018-10-23",7740
"2018-10-24",7790
"2018-10-25",7600
"2018-10-26",7370
"2018-10-29",7190
"2018-10-30",7090
"2018-10-31",7070
"2018-11-01",7390
"2018-11-02",8080
"2018-11-05",7750
"2018-11-06",8030
"2018-11-07",7580
"2018-11-08",7830
"2018-11-09",7780
"2018-11-12",7550
"2018-11-13",7590
"2018-11-14",7490
"2018-11-15",7570
"2018-11-16",7610
"2018-11-19",7760
"2018-11-20",7830
"2018-11-21",7840
"2018-11-22",7620
"2018-11-23",7400
"2018-11-26",7420
"2018-11-27",7440
"2018-11-28",7380
"2018-11-29",7330
"2018-11-30",7450
"2018-12-03",8050
"2018-12-04",7890
"2018-12-05",7660
"2018-12-06",7470
"2018-12-07",7400
"2018-12-10",7280
"2018-12-11",7240
"2018-12-12",7420
"2018-12-13",7750
"2018-12-14",7720
"2018-12-17",7690
"2018-12-18",7650
"2018-12-19",7750
"2018-12-20",7670
"2018-12-21",7280
"2018-12-24",7220
"2018-12-26",7060
"2018-12-27",7070
"2018-12-28",7230
"2019-01-02",7060
"2019-01-03",7060
"2019-01-04",7160
"2019-01-07",7390
"2019-01-08",7370
"2019-01-09",7760
"2019-01-10",7870
"2019-01-11",7740
"2019-01-14",7610
"2019-01-15",7860
"2019-01-16",7890
"2019-01-17",7750
"2019-01-18",7950
"2019-01-21",8100
"2019-01-22",8160
"2019-01-23",8160
"2019-01-24",8000
"2019-01-25",8010
"2019-01-28",7990
"2019-01-29",7960
"2019-01-30",8480
"2019-01-31",8330
"2019-02-01",8600
"2019-02-07",8590
"2019-02-08",8200
"2019-02-11",8190
"2019-02-12",8110
"2019-02-13",8130
"2019-02-14",8240
"2019-02-15",8070
"2019-02-18",8430
"2019-02-19",8290
"2019-02-20",8680
"2019-02-21",8620
"2019-02-22",8590
"2019-02-25",8450
"2019-02-26",8580
"2019-02-27",8570
"2019-02-28",8200
"2019-03-04",8400
"2019-03-05",8310
"2019-03-06",8250
"2019-03-07",8130
"2019-03-08",7980
"2019-03-11",7990
"2019-03-12",8140
"2019-03-13",8140
"2019-03-14",8180
"2019-03-15",8510
"2019-03-18",8170
"2019-03-19",8090
"2019-03-20",8090
"2019-03-21",7950
"2019-03-22",7810
"2019-03-25",7570
"2019-03-26",7560
"2019-03-27",7450
"2019-03-28",7300
"2019-03-29",7370
"2019-04-01",7660
"2019-04-02",7560
"2019-04-03",7820
"2019-04-04",7910
"2019-04-05",7950
"2019-04-08",7990
"2019-04-09",7950
"2019-04-10",8030
"2019-04-11",7980
"2019-04-12",8150
"2019-04-15",8160
"2019-04-16",8200
"2019-04-17",8250
"2019-04-18",8090
"2019-04-19",8120
"2019-04-22",8090
"2019-04-23",8050
"2019-04-24",7690
"2019-04-25",7670
"2019-04-26",7440
"2019-04-29",7670
"2019-04-30",7550
"2019-05-02",7550
"2019-05-03",7460
"2019-05-07",7230
"2019-05-08",7180
"2019-05-09",6990
"2019-05-10",6930
"2019-05-13",6620
"2019-05-14",6620
"2019-05-15",6750
"2019-05-16",6760
"2019-05-17",6740
"2019-05-20",6600
"2019-05-21",6530
"2019-05-22",6420
"2019-05-23",6350
"2019-05-24",6400
"2019-05-27",6490
"2019-05-28",6630
"2019-05-29",6480
"2019-05-30",6430
"2019-05-31",6360
"2019-06-03",6380
"2019-06-04",6390
"2019-06-05",6360
"2019-06-07",6380
"2019-06-10",6450
"2019-06-11",6500
"2019-06-12",6640
"2019-06-13",6520
"2019-06-14",6630
"2019-06-17",6700
"2019-06-18",6660
"2019-06-19",6680
"2019-06-20",6760
"2019-06-21",6850
"2019-06-24",6880
"2019-06-25",6820
"2019-06-26",6760
"2019-06-27",6880
"2019-06-28",6710
"2019-07-01",6780
