"","종목코드","종목명","시장구분","산업분류","현재가.종가.","전일대비","시가총액.원.","일자","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물..일련번호","총카운트"
"1","005930","삼성전자","코스피","전기전자",49500,200,295504236225000,"2019-09-20","-",49200,"6,461","7.61","35,342","1.39",1416,2.88,2029,NA
"2","000660","SK하이닉스","코스피","전기전자",83400,600,60715397241000,"2019-09-20","-",82200,"22,255","3.69","64,348","1.28",1500,1.82,1965,NA
"3","005380","현대차","코스피","운수장비",134000,1000,28631537058000,"2019-09-20","-",129500,"5,632","22.99","245,447","0.53",4000,3.09,2020,NA
"4","035420","NAVER","코스피","서비스업",158000,1000,26040516410000,"2019-09-20","-",157000,"4,437","35.38","31,795","4.94",314,0.2,2118,NA
"5","012330","현대모비스","코스피","운수장비",259500,8000,24732087093000,"2019-09-20","-",248500,"19,944","12.46","314,650","0.79",4000,1.61,2069,NA
"6","051910","LG화학","코스피","화학",327000,3500,23083696161000,"2019-09-20","-",329000,"19,217","17.12","218,227","1.51",6000,1.82,2134,NA
"7","068270","셀트리온","코스피","의약품",168500,-2500,21624671268000,"2019-09-20","-",175500,"2,063","85.07","19,766","8.88",0,0,2142,NA
"8","207940","삼성바이오로직스","코스피","의약품",318500,1500,21073552500000,"2019-09-20","-",338500,"3,387","99.94","62,805","5.39",0,0,2199,NA
"9","005490","POSCO","코스피","철강금속",232500,1500,20270939137500,"2019-09-20","-",234000,"20,911","11.19","497,452","0.47",10000,4.27,2022,NA
"10","055550","신한지주","코스피","금융업",42650,-200,20224612385550,"2019-09-20","-",42850,"6,579","6.51","75,339","0.57",1600,3.73,2136,NA
"11","051900","LG생활건강","코스피","화학",1287000,24000,20100619539000,"2019-09-20","-",1262000,"40,740","30.98","198,221","6.37",9250,0.73,2133,NA
"12","017670","SK텔레콤","코스피","통신업",240500,-500,19419343495500,"2019-09-20","-",238500,"44,066","5.41","278,291","0.86",10000,4.19,2079,NA
"13","000270","기아차","코스피","운수장비",46050,-350,18666982129350,"2019-09-20","-",44000,"2,883","15.26","67,208","0.65",900,2.05,1961,NA
"14","105560","KB금융","코스피","금융업",44000,200,18396907628000,"2019-09-20","-",44200,"7,721","5.72","85,393","0.52",1920,4.34,2171,NA
"15","028260","삼성물산","코스피","유통업",92000,700,17451483956000,"2019-09-20","-",92200,"10,384","8.88","104,259","0.88",2000,2.17,2099,NA
"16","015760","한국전력","코스피","전기가스업",26750,400,17172539059750,"2019-09-20","-",25550,"-","-","108,641","0.24",0,0,2077,NA
"17","006400","삼성SDI","코스피","전기전자",238500,1500,16400340405000,"2019-09-20","-",237000,"10,484","22.61","169,560","1.4",1000,0.42,2037,NA
"18","096770","SK이노베이션","코스피","화학",169500,0,15672913098000,"2019-09-20","-",168500,"18,267","9.22","193,402","0.87",8000,4.75,2168,NA
"19","018260","삼성에스디에스","코스피","서비스업",202500,2000,15669004500000,"2019-09-20","-",200500,"8,137","24.64","77,315","2.59",2000,1,2082,NA
"20","034730","SK","코스피","금융업",214000,2000,15057103558000,"2019-09-20","-",214000,"40,310","5.31","234,433","0.91",5000,2.34,2115,NA
"21","032830","삼성생명","코스피","금융업",73300,600,1.466e+13,"2019-09-20","-",72600,"9,268","7.83","144,510","0.5",2650,3.65,2108,NA
"22","033780","KT&G","코스피","기타제조",104000,0,14278419688000,"2019-09-20","-",103500,"7,141","14.49","58,847","1.76",4000,3.86,2111,NA
"23","003550","LG","코스피","금융업",71500,-100,12337834866500,"2019-09-20","-",71100,"10,603","6.71","102,340","0.69",2000,2.81,2002,NA
"24","010950","S-Oil","코스피","화학",103000,500,11596027576000,"2019-09-20","-",102000,"2,216","46.03","55,480","1.84",750,0.74,2063,NA
