"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"1","코스피","030720","동원수산","어업",9660,180,44955756300
"2","코스피","007160","사조산업","어업",42450,200,2.1225e+11
"3","코스피","006040","동원산업","어업",218000,-2000,801725738000
"4","코스피","004970","신라교역","어업",13100,100,2.096e+11
"5","코스피","012320","경동인베스트","광업",35600,-750,84194818800
"6","코스피","003580","넥스트사이언스","광업",4330,-130,101671166870
"7","코스피","017810","풀무원","음식료품",9250,0,352341287500
"8","코스피","280360","롯데제과","음식료품",149500,0,959299191500
"9","코스피","271560","오리온","음식료품",99700,1800,3941752360400
"10","코스피","006090","사조오양","음식료품",8700,590,81977829300
"11","코스피","26490K","크라운제과우","음식료품",8550,40,6613938000
"12","코스피","264900","크라운제과","음식료품",8770,10,109834164500
"13","코스피","248170","샘표식품","음식료품",31800,100,145271494800
"14","코스피","101530","해태제과식품","음식료품",7860,-40,228858220920
"15","코스피","014710","사조씨푸드","음식료품",5710,70,98317880530
"16","코스피","145995","삼양사우","음식료품",33900,0,12545373000
"17","코스피","145990","삼양사","음식료품",50800,600,522721992400
"18","코스피","000087","하이트진로2우B","음식료품",17550,150,19833921900
"19","코스피","136490","선진","음식료품",10300,0,244929921200
"20","코스피","033920","무학","음식료품",9350,-30,2.66475e+11
"21","코스피","001799","대한제당3우B","음식료품",41250,9500,5348310000
"22","코스피","000080","하이트진로","음식료품",26450,250,1855034010950
"23","코스피","011155","CJ씨푸드1우","음식료품",35000,0,7e+09
"24","코스피","011150","CJ씨푸드","음식료품",3355,40,120547743415
"25","코스피","097955","CJ제일제당 우","음식료품",109000,500,144690197000
"26","코스피","097950","CJ제일제당","음식료품",236500,2000,3560314989000
"27","코스피","027740","마니커","음식료품",1525,200,241670705850
"28","코스피","002600","조흥","음식료품",153000,500,9.18e+10
"29","코스피","049770","동원F&B","음식료품",221000,-1500,852866404000
"30","코스피","036580","팜스코","음식료품",5290,90,194290818470
"31","코스피","023150","MH에탄올","음식료품",6020,-20,44418726520
"32","코스피","008040","사조동아원","음식료품",1175,25,165844905000
"33","코스피","007310","오뚜기","음식료품",589000,0,2123484593000
"34","코스피","006980","우성사료","음식료품",3810,80,1.17729e+11
"35","코스피","005610","SPC삼립","음식료품",1e+05,1400,862900900000
"36","코스피","005305","롯데칠성우","음식료품",74100,100,57450471000
"37","코스피","005300","롯데칠성","음식료품",140500,1500,1123081130000
"38","코스피","005180","빙그레","음식료품",58500,900,576297598500
"39","코스피","004415","서울식품우","음식료품",3820,20,8497590000
"40","코스피","004410","서울식품","음식료품",195,1,65794950000
"41","코스피","004370","농심","음식료품",258000,5000,1569321636000
"42","코스피","003960","사조대림","음식료품",17800,0,163127512600
"43","코스피","003925","남양유업우","음식료품",178000,-2500,29665836000
"44","코스피","003920","남양유업","음식료품",501000,4000,3.6072e+11
"45","코스피","003680","한성기업","음식료품",6440,40,39412767800
"46","코스피","003230","삼양식품","음식료품",77700,-100,585315265500
"47","코스피","002270","롯데푸드","음식료품",450000,2500,509341500000
"48","코스피","002140","고려산업","음식료품",4885,-60,121829091125
"49","코스피","001795","대한제당우","음식료품",14800,900,9594484800
"50","코스피","001790","대한제당","음식료품",23300,1450,205972046600
"51","코스피","001685","대상우","음식료품",12950,50,17744387850
"52","코스피","001680","대상","음식료품",22350,-200,774383358750
"53","코스피","001130","대한제분","음식료품",169000,2000,2.8561e+11
"54","코스피","000890","보해양조","음식료품",1320,15,162503249040
"55","코스피","016450","한세예스24홀딩스","섬유의복",7360,40,2.944e+11
"56","코스피","111110","호전실업","섬유의복",13500,-300,1.08e+11
"57","코스피","093240","형지엘리트","섬유의복",1530,25,47666840940
"58","코스피","105630","한세실업","섬유의복",19600,-100,7.84e+11
"59","코스피","102280","쌍방울","섬유의복",1060,-10,136871665780
"60","코스피","090370","메타랩스","섬유의복",1570,0,82125108020
"61","코스피","093050","LF","섬유의복",20650,0,6.03806e+11
"62","코스피","084870","TBH글로벌","섬유의복",3070,-25,64030434330
"63","코스피","007980","태평양물산","섬유의복",2915,-35,145492727930
"64","코스피","007700","F&F","섬유의복",90400,-1500,1.39216e+12
"65","코스피","020000","한섬","섬유의복",29750,-750,732742500000
"66","코스피","016090","대현","섬유의복",2410,10,106720367100
"67","코스피","014990","인디에프","섬유의복",3650,-125,215105431750
"68","코스피","011300","성안","섬유의복",481,1,27348630660
"69","코스피","009275","신원우","섬유의복",57600,-1000,5226624000
"70","코스피","009270","신원","섬유의복",2585,-65,219834859915
"71","코스피","008500","일정실업","섬유의복",19200,400,2.304e+10
"72","코스피","005820","원림","섬유의복",17900,-250,3.938e+10
"73","코스피","005800","신영와코루","섬유의복",109000,-500,9.81e+10
"74","코스피","003610","방림","섬유의복",2065,0,87378595850
